State,R&D Amount (in $),Marketing Amount (in $),Campaigns (Count),Profit (in $),Employee Count,Product Count
Alabama,167684,96524,6,47036,278,38
Alaska,180067,132932,3,42541,164,37
Arizona,105431,116187,10,43087,181,29
Arkansas,171035,107298,6,46504,285,27
California,121645,82274,7,60994,201,50
Colorado,105622,84320,8,44010,103,41
Connecticut,150466,96308,8,49716,256,42
Delaware,111609,110750,4,62435,197,43
Florida,183704,105895,8,69223,138,36
Georgia,116466,76594,5,51353,173,31
Hawaii,172907,102390,7,78059,232,44
Idaho,131660,145281,9,58989,103,44
Illinois,100453,137840,3,60867,289,27
Indiana,146080,128133,5,50566,143,42
Iowa,169022,148705,5,51179,236,48
Kansas,103365,92792,6,71922,209,49
Kentucky,128277,86595,5,48731,294,35
Louisiana,157091,147747,3,74226,199,43
Maine,179268,78439,10,46989,270,45
Maryland,114414,94117,5,66443,168,29
Massachusetts,114242,127620,8,59713,185,40
Michigan,115505,98681,9,77416,261,45
Minnesota,158052,132070,7,57918,271,44
Mississippi,114213,128081,8,75402,268,41
Missouri,103544,135068,3,42037,297,43
Montana,112457,144184,6,40074,264,36
Nebraska,112875,82893,6,46081,167,48
Nevada,123192,111277,5,71753,234,31
New Hampshire,137724,77822,7,70238,270,32
New Jersey,119630,116212,5,67712,237,27
New Mexico,110909,99732,10,79991,168,36
New York,147174,131989,4,72806,208,33
North Carolina,133356,101280,10,56159,291,26
North Dakota,136928,88375,3,62287,235,37
Ohio,171059,130277,7,69879,182,32
Oklahoma,126584,98088,7,63369,143,37
Oregon,166674,131500,9,62659,257,37
Pennsylvania,149115,70099,4,79714,158,43
Rhode Island,162748,115248,10,50750,170,32
South Carolina,163062,122484,9,65271,262,48
South Dakota,199724,80154,4,79312,229,20
Tennessee,189237,142188,8,54075,257,31
Texas,169724,145486,5,64530,155,28
Utah,175675,110703,9,60259,127,41
Vermont,194770,129002,7,53528,258,36
Virginia,198980,100750,3,59232,136,43
Washington,198739,90210,9,41959,154,50
West Virginia,184839,111527,10,53291,151,30
Wisconsin,182772,98312,10,70143,180,45
Wyoming,143455,127309,6,58173,106,28
